title,combined
Jujutsu Kaisen 0 Movie,"Action, Fantasy School MAPPA Mainichi Broadcasting System, TOHO animation, Shueisha, Sumzap Crunchyroll"
Saiki Kusuo no Ψ-nan,"Comedy, Supernatural Gag Humor, School, Super Power J.C.Staff, Egg Firm TV Tokyo, Shogakukan-Shueisha Productions, Pony Canyon, Nippon Columbia, KlockWorx, Asmik Ace, Bandai Namco Entertainment, Shueisha, Toy's Factory, Dear Stage inc. Funimation"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Supernatural A-1 Pictures Aniplex, Dentsu, Fuji TV, Fujipacific Music NIS America, Inc., Aniplex of America"
Psycho-Pass,"Action, Mystery, Sci-Fi, Suspense Adult Cast, Detective, Psychological Production I.G Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, TOHO animation, Kyoraku Industrial Holdings Funimation"
Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural Vampire Shaft Aniplex, Kodansha, Cyclone Graphics Aniplex of America"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"Drama, Fantasy, Suspense Isekai, Psychological, Time Travel White Fox AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa"
Bocchi the Rock!,"Comedy CGDCT, Music CloverWorks Aniplex, Houbunsha Crunchyroll"
Dr. Stone,"Adventure, Comedy, Sci-Fi Survival TMS Entertainment TOHO animation, Shueisha, 8PAN Funimation, Crunchyroll"
Bakemonogatari,"Mystery, Romance, Supernatural Vampire Shaft Aniplex, Kodansha Aniplex of America"
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"Adventure, Comedy, Fantasy Isekai, Parody J.C.Staff Half H.P Studio, Nippon Columbia, Toranoana, MAGES., 81 Produce, Sammy, Kadokawa Media House, Kadokawa, Sony Music Solutions"
Steins;Gate 0,"Drama, Sci-Fi, Suspense Time Travel White Fox Frontier Works, Movic, Kadokawa Funimation"
Tensei shitara Slime Datta Ken 2nd Season,"Action, Adventure, Comedy, Fantasy Isekai, Reincarnation 8bit Kodansha Funimation"
Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Suspense Isekai, Psychological, Time Travel White Fox TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music & Pictures Funimation"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"Drama, Fantasy, Suspense Isekai, Psychological, Time Travel White Fox AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa"
Haikyuu!! To the Top,"Sports School, Team Sports Production I.G Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha Sentai Filmworks"
Kono Subarashii Sekai ni Shukufuku wo! 2,"Adventure, Comedy, Fantasy Isekai, Parody Studio Deen Kadokawa Shoten, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House Discotek Media"
Hotaru no Haka,"Drama Historical Studio Ghibli ADV Films, Central Park Media, Sentai Filmworks"
Vinland Saga Season 2,"Action, Adventure, Drama Gore, Historical MAPPA Dentsu, Kodansha, Twin Engine"
Fate/Zero,"Action, Fantasy, Supernatural ufotable Aniplex, Nitroplus, Seikaisha, Notes Aniplex of America"
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"Drama, Romance, Supernatural School CloverWorks Aniplex, Tokyo MX, Hakuhodo DY Music & Pictures, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa Aniplex of America"
Perfect Blue,"Avant Garde, Drama, Horror, Suspense Adult Cast, Psychological, Showbiz Madhouse Rex Entertainment, ONIRO GKIDS"
Mob Psycho 100 III,"Action, Comedy, Supernatural Super Power Bones Shogakukan-Shueisha Productions, Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan"
Kenpuu Denki Berserk,"Action, Adventure, Drama, Fantasy, Horror Gore, Military OLM VAP, Hakusensha, Nippon Television Network Discotek Media"
Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Supernatural ufotable Aniplex, Notes Aniplex of America"
Bleach: Sennen Kessen-hen,"Action, Adventure, Fantasy Pierrot TV Tokyo, Aniplex, Dentsu, Shueisha VIZ Media"
Grand Blue,"Comedy Adult Cast Zero-G Mainichi Broadcasting System, Kodansha, NBCUniversal Entertainment Japan, Avex Pictures, Q-Tec, JR East Marketing & Communications, GYAO!"
Hellsing Ultimate,"Action, Horror, Supernatural Adult Cast, Gore, Military, Vampire Madhouse, Satelight, Graphinica Geneon Universal Entertainment, GDH, Geneon Entertainment USA, Shounen Gahousha Funimation"
Hajime no Ippo,"Sports Combat Sports Madhouse VAP Discotek Media, Geneon Entertainment USA"
Kimetsu no Yaiba: Mugen Ressha-hen,"Action, Fantasy Historical ufotable Aniplex, Shueisha"
